ID,X,Y,Z,VX,VY,VZ,PART,MASS,RHO,RHO_0,P,E,HSML
0,-1.7071554284024239e+05,-1.2360518215572834e+05,-8.7874580448458175e+04,1.8697248857750310e+01,-2.3679560204530731e+01,3.6518586361614691e+00,1,1.0051857215000000e+16,9.0042485894000004e+02,9.1700000000000000e+02,8.2503890035999997e+04,4.7241402929999999e+05,2.5000000000000000e+04
1,4.5145581159830093e+04,2.1266104884433746e+05,-1.4567848048458167e+04,-3.6025676812249912e+01,7.3854407754693057e+00,9.6877687216146868e-01,1,1.0051857215000000e+16,9.0865079782999999e+02,9.1700000000000000e+02,5.1926752243999997e+05,2.3790518593000001e+05,2.5000000000000000e+04
2,2.0206679115962982e+05,-6.5577084155678749e+04,-1.8378689398458169e+04,1.0770314707750003e+01,3.3927363045469292e+01,-2.7869512853385316e+00,1,1.0051857215000000e+16,9.0863675092000005e+02,9.1700000000000000e+02,-2.0285802408000000e+05,2.3629514189000000e+05,2.5000000000000000e+04
3,4.3156130159616470e+04,-2.1169235415565968e+05,2.8030986071541847e+04,3.4864069877750808e+01,6.9698630954693499e+00,-2.6559950964385313e+00,1,1.0051857215000000e+16,9.0858837792999998e+02,9.1700000000000000e+02,-1.2981208085000000e+06,2.3462420681000000e+05,2.5000000000000000e+04
4,-5.6195424840211868e+04,9.8779891844272614e+04,-5.7998200784581713e+03,-1.6398836652249884e+01,-9.4668526045306862e+00,1.1113638761614688e+00,1,1.0051857215000000e+16,9.0925131693000003e+02,9.1700000000000000e+02,2.9796331310000001e+06,2.2764248314000000e+05,2.5000000000000000e+04
5,1.1261363215970993e+05,1.5645107884430885e+05,-1.4171820258458174e+04,-2.6569513222249952e+01,1.8818261145469364e+01,2.3308081614685783e-03,1,1.0051857215000000e+16,9.0897413864999999e+02,9.1700000000000000e+02,1.1565451825000001e+06,2.3046730102000001e+05,2.5000000000000000e+04
6,1.4018795515966415e+05,1.3235727084434032e+05,-3.5837636128458165e+04,-2.2560141422249217e+01,2.3688869175469335e+01,-4.1044695962853139e-01,1,1.0051857215000000e+16,9.0894821007999997e+02,9.1700000000000000e+02,6.9014157501000003e+05,2.2990834112999999e+05,2.5000000000000000e+04
7,4.0828098159790039e+04,1.5734113484430313e+05,-3.6522069384581700e+03,-2.6528660072249295e+01,6.5563999454692521e+00,6.1759922736146855e-01,1,1.0051857215000000e+16,9.0917247918999999e+02,9.1700000000000000e+02,1.7501300395000000e+06,2.2646914107000001e+05,2.5000000000000000e+04
8,6.8840419159650803e+04,1.3891050084424019e+05,-1.8455260038458189e+04,-2.3496932402249513e+01,1.1231675435469356e+01,1.9823236506146857e-01,1,1.0051857215000000e+16,9.0898044911000000e+02,9.1700000000000000e+02,8.1261005836999998e+05,2.2933081226999999e+05,2.5000000000000000e+04
9,-2.0030681784033775e+05,-1.3212991015565395e+05,-6.2971263978458184e+04,2.1334884717750356e+01,-2.8998471374530595e+01,5.7363576787614692e+00,1,1.0051857215000000e+16,9.0347207799000000e+02,9.1700000000000000e+02,1.5135861991000001e+05,3.8496491285000002e+05,2.5000000000000000e+04
