T,X,Y,Z
0.0000000000000000e+00,-1.2868764301889861e+08,-2.3549358197547930e+08,0.0000000000000000e+00
5.0001388927470209e+00,-1.2861637967065179e+08,-2.3545392055329779e+08,0.0000000000000000e+00
1.0000277785494042e+01,-1.2854511000653975e+08,-2.3541424756886303e+08,0.0000000000000000e+00
1.5000416678241065e+01,-1.2847383402519614e+08,-2.3537456301520488e+08,0.0000000000000000e+00
2.0000555570988084e+01,-1.2840255172524117e+08,-2.3533486688533917e+08,0.0000000000000000e+00
2.5000694463735105e+01,-1.2833126310530902e+08,-2.3529515917228299e+08,0.0000000000000000e+00
3.0000833356482129e+01,-1.2825996816402708e+08,-2.3525543986904290e+08,0.0000000000000000e+00
3.5000972249229143e+01,-1.2818866690003000e+08,-2.3521570896862304e+08,0.0000000000000000e+00
4.0001111141976168e+01,-1.2811735931193903e+08,-2.3517596646401370e+08,0.0000000000000000e+00
4.5001250034723192e+01,-1.2804604539838965e+08,-2.3513621234820622e+08,0.0000000000000000e+00
5.0001388927470209e+01,-1.2797472515801033e+08,-2.3509644661418158e+08,0.0000000000000000e+00
5.5001527820217234e+01,-1.2790339858943634e+08,-2.3505666925491783e+08,0.0000000000000000e+00
6.0001666712964258e+01,-1.2783206569129154e+08,-2.3501688026338023e+08,0.0000000000000000e+00
6.5001805605711283e+01,-1.2776072646220967e+08,-2.3497707963253263e+08,0.0000000000000000e+00
7.0001944498458286e+01,-1.2768938090082350e+08,-2.3493726735533217e+08,0.0000000000000000e+00
7.5002083391205318e+01,-1.2761802900576781e+08,-2.3489744342472988e+08,0.0000000000000000e+00
8.0002222283952335e+01,-1.2754667077566834e+08,-2.3485760783366567e+08,0.0000000000000000e+00
8.5002361176699353e+01,-1.2747530620916007e+08,-2.3481776057507744e+08,0.0000000000000000e+00
9.0002500069446384e+01,-1.2740393530487579e+08,-2.3477790164189556e+08,0.0000000000000000e+00
9.5002638962193387e+01,-1.2733255806145239e+08,-2.3473803102704579e+08,0.0000000000000000e+00
1.0000277785494042e+02,-1.2726117447751610e+08,-2.3469814872344136e+08,0.0000000000000000e+00
1.0500291674768744e+02,-1.2718978455170369e+08,-2.3465825472399467e+08,0.0000000000000000e+00
1.1000305564043447e+02,-1.2711838828264914e+08,-2.3461834902160990e+08,0.0000000000000000e+00
1.1500319453318147e+02,-1.2704698566899078e+08,-2.3457843160918674e+08,0.0000000000000000e+00
